bulan,sektor,wilayah,jumlah_umkm,total_penjualan_juta,rata_penjualan_juta,pertumbuhan_persen
Januari,Kuliner,Jawa,1250000,18750000,15.0,2.1
Januari,Fashion,Jawa,980000,12740000,13.0,1.8
Januari,Kerajinan,Jawa,430000,4730000,11.0,1.5
Januari,Kuliner,Sumatera,780000,9360000,12.0,1.9
Januari,Fashion,Sumatera,520000,5720000,11.0,1.6
Januari,Kerajinan,Sumatera,210000,1890000,9.0,1.2
Januari,Kuliner,Kalimantan,320000,3520000,11.0,1.7
Januari,Fashion,Kalimantan,180000,1620000,9.0,1.3
Januari,Kerajinan,Kalimantan,90000,720000,8.0,1.0
Januari,Kuliner,Sulawesi,290000,2900000,10.0,1.5
Januari,Fashion,Sulawesi,160000,1280000,8.0,1.1
Januari,Kerajinan,Sulawesi,75000,525000,7.0,0.9
Februari,Kuliner,Jawa,1260000,19530000,15.5,4.2
Februari,Fashion,Jawa,990000,13365000,13.5,4.9
Februari,Kerajinan,Jawa,435000,4872500,11.2,3.0
Februari,Kuliner,Sumatera,790000,9875000,12.5,5.5
Februari,Fashion,Sumatera,528000,6072000,11.5,6.1
Februari,Kerajinan,Sumatera,213000,1981900,9.3,4.8
Februari,Kuliner,Kalimantan,323000,3585300,11.1,1.9
Februari,Fashion,Kalimantan,182000,1674400,9.2,3.3
Februari,Kerajinan,Kalimantan,91000,746200,8.2,3.0
Februari,Kuliner,Sulawesi,293000,3076500,10.5,6.1
Februari,Fashion,Sulawesi,162000,1328400,8.2,3.8
Februari,Kerajinan,Sulawesi,76000,548700,7.2,4.5
Maret,Kuliner,Jawa,1275000,20952000,16.4,7.3
Maret,Fashion,Jawa,1005000,14270500,14.2,6.8
Maret,Kerajinan,Jawa,442000,5106800,11.6,4.8
Maret,Kuliner,Sumatera,800000,10560000,13.2,6.9
Maret,Fashion,Sumatera,537000,6535260,12.2,7.6
Maret,Kerajinan,Sumatera,218000,2115800,9.7,6.8
Maret,Kuliner,Kalimantan,328000,3771200,11.5,6.1
Maret,Fashion,Kalimantan,186000,1764900,9.5,5.3
Maret,Kerajinan,Kalimantan,93000,780120,8.4,4.8
Maret,Kuliner,Sulawesi,298000,3277100,11.0,7.7
Maret,Fashion,Sulawesi,166000,1411000,8.5,5.5
Maret,Kerajinan,Sulawesi,78000,585390,7.5,6.7
April,Kuliner,Jawa,1290000,22327200,17.3,6.6
April,Fashion,Jawa,1020000,15289800,15.0,7.2
April,Kerajinan,Jawa,450000,5422500,12.1,6.2
April,Kuliner,Sumatera,812000,11286480,13.9,6.9
April,Fashion,Sumatera,548000,7069800,12.9,8.2
April,Kerajinan,Sumatera,224000,2308672,10.3,9.1
April,Kuliner,Kalimantan,334000,4001620,12.0,6.1
April,Fashion,Kalimantan,190000,1866450,9.8,5.7
April,Kerajinan,Kalimantan,95000,812325,8.6,4.1
April,Kuliner,Sulawesi,304000,3457480,11.4,5.5
April,Fashion,Sulawesi,170000,1484650,8.7,5.2
April,Kerajinan,Sulawesi,80000,615660,7.7,5.2
Mei,Kuliner,Jawa,1310000,24950400,19.1,11.7
Mei,Fashion,Jawa,1045000,17893800,17.1,14.1
Mei,Kerajinan,Jawa,462000,6114900,13.2,12.8
Mei,Kuliner,Sumatera,828000,13042800,15.8,13.8
Mei,Fashion,Sumatera,563000,8340800,14.8,15.0
Mei,Kerajinan,Sumatera,232000,2670040,11.5,15.7
Mei,Kuliner,Kalimantan,342000,4525440,13.2,13.1
Mei,Fashion,Kalimantan,196000,2197920,11.2,17.7
Mei,Kerajinan,Kalimantan,98000,930768,9.5,14.6
Mei,Kuliner,Sulawesi,312000,3900000,12.5,12.8
Mei,Fashion,Sulawesi,176000,1743360,9.9,17.4
Mei,Kerajinan,Sulawesi,83000,715900,8.6,16.3
Juni,Kuliner,Jawa,1295000,22659500,17.5,-8.4
Juni,Fashion,Jawa,1030000,15346100,14.9,-12.8
Juni,Kerajinan,Jawa,456000,5497200,12.1,-8.3
Juni,Kuliner,Sumatera,820000,11398000,13.9,-12.6
Juni,Fashion,Sumatera,555000,7104000,12.8,-14.8
